id,slate_id,owner_id,field
14,2836,6,home
15,2837,19,home
16,2838,17,away
17,2838,4,home
18,2839,17,away
19,2839,4,home
20,2840,3,home
21,2841,9,away
22,2842,12,home
23,2843,18,away
24,2843,8,home
25,2844,18,away
26,2844,8,home
27,2845,1,home
28,2846,14,home
29,2847,7,away
30,2847,11,home
31,2848,7,away
32,2848,11,home
33,2849,2,home
34,2850,5,away
35,2850,10,home
36,2851,5,away
37,2851,10,home
